Column,Row,Product/ internal Standard,Product
8,B,0.93055,CCOC(=O)C1=C(COCCOC(=O)c2csc(Br)n2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
8,C,0.56785,CCOC(=O)C1=C(COCCOC(=O)Cc2nn[nH]n2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
8,D,0,CCOC(=O)C1=C(COCCOC(=O)CCCCCCCCCBr)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
8,E,0.5965,CCOC(=O)C1=C(COCCOC(=O)[C@H](CO)NC(=O)OCc2ccccc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
8,F,0.4317,CCOC(=O)C1=C(COCCSc2ccccc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
8,G,0.57845,CCOC(=O)C1=C(COCCOC(=O)C(C)(C)CCCOc2cc(C)ccc2C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
8,H,0,CCOC(=O)C1=C(COCCOC(=O)[O-])NC(C)=C(C(=O)OC)C1c1ccccc1Cl
9,A,0.8158,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2C=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
9,B,0.81665,CCOC(=O)C1=C(COCCOC(=O)c2csc3ccc(Cl)cc23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
9,C,0.5682,CCOC(=O)C1=C(COCCOC(=O)Cc2ccc(-c3ccccc3)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
9,D,1.1768,CCOC(=O)C1=C(COCCOC(=O)Cc2ccc3c(c2)C(=O)c2ccccc2CO3)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
9,E,0.5618,CCOC(=O)C1=C(COCCOC(=O)[C@@H](NC(=O)c2ccccc2)[C@@H](C)O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
9,F,0.03845,CCOC(C1=C(NC(C)=C(C1c2c(Cl)cccc2)C(OC)=O)COCCOc3ccc(Cl)cc3N)=O
9,G,0.04615,CCOC(C1=C(NC(C)=C(C1c2c(Cl)cccc2)C(OC)=O)COCCOC([C@@H]3N4C([C@H]([C@H]4SC3(C)C)NC(C(c5ccccc5)NC(OC(C)(C)C)=O)=O)=O)=O)=O
9,H,0.10905,C/C=C/C=CC(=O)OCCOCC1=C(C(=O)OCC)C(c2ccccc2Cl)C(C(=O)OC)=C(C)N1
10,A,0.09005,CCOC(=O)C1=C(COCCOC(=O)c2ccc(S(N)(=O)=O)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
10,B,0.25335,CCOC(=O)C1=C(COCCOC(=O)c2ccncc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
10,C,1.008,CCOC(=O)C1=C(COCCOC(=O)Cc2csc3ccc(Cl)cc23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
10,D,0.5903,C#CCCC(=O)OCCOCC1=C(C(=O)OCC)C(c2ccccc2Cl)C(C(=O)OC)=C(C)N1
10,E,0.07915,CCOC(=O)C1=C(COCCOC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)OC(C)(C)C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
10,F,0.0486,CCOC(=O)C1=C(COCCOc2ccc([N+](=O)[O-])cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
10,G,0,CCOC(=O)C1=C(COCCOC(=O)c2cc(=O)[nH]c(=O)[nH]2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
10,H,0,CCOC(=O)C1=C(COCCn2c(=O)[nH]c(=O)n(Br)c2=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
11,A,1.06035,CCOC(=O)C1=C(COCCOC(=O)c2ccc(Br)c(F)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
11,B,0.0255,CCOC(=O)C1=C(COCCOC(=O)c2n[nH]c3ccc(Cl)cc23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
11,C,0.5215,CCOC(=O)C1=C(COCCOC(=O)Cc2ccc3c(c2)OCCO3)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
11,D,0,CCOC(=O)C1=C(COCCOC(=O)CBr)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
11,E,0.5791,CCOC(=O)C1=C(COCCOC(=O)[C@@H]2CCCN2C(=O)OC(C)(C)C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
11,F,0.0697,CCOC(=O)C1=C(COCCOc2ccccc2I)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
11,G,0.07775,CCOC(=O)C1=C(COCCOC(=O)CCCC[C@@H]2SC[C@@H]3NC(=O)N[C@H]23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
11,H,0.26975,CCOC(=O)C1=C(COCCOC(C)=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
12,A,0.21855,CCOC(=O)C1=C(COCCOC(=O)c2ccc(C)c(C)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
12,B,0.27415,CCOC(=O)C1=C(COCCOC(=O)c2cccc3ccncc23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
12,C,0.44075,CCOC(=O)C1=C(COCCOC(=O)Cc2ccc(OC)c(OC)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
12,D,0.40365,CCOC(=O)C1=C(COCCOC(=O)C2CCC(=O)N2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
12,E,0.83765,CCOC(=O)C1=C(COCCOC(=O)C2CCNCC2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
12,F,0,CCOC(=O)C1=C(COCCOc2c(C(C)(C)C)cc(C)cc2C(C)(C)C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
12,G,1.00835,CCOC(=O)C1=C(COCCOC(=O)c2sc(-c3ccc(OCC(C)C)c(C#N)c3)nc2C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
12,H,0,CCOC(=O)C1=C(COCCOP(=O)([O-])[O-])NC(C)=C(C(=O)OC)C1c1ccccc1Cl
